iso_code,continent,country,last_updated_date,total_cases,total_deaths,total_cases_per_million,population
AFG,Asia,Afghanistan,2024-08-04,235214,7998,5796.468,41128772
ALB,Europe,Albania,2024-08-04,335047,3605,118491.02,2842318
DZA,Africa,Algeria,2024-08-04,272139,6881,5984.05,44903228
ASM,Oceania,American Samoa,2024-08-04,8359,34,172831.6,44295
AND,Europe,Andorra,2024-08-04,48015,159,602280.44,79843
AGO,Africa,Angola,2024-08-04,107481,1937,3016.162,35588996
AIA,North America,Anguilla,2024-08-04,3904,12,274890.88,15877
ATG,North America,Antigua and Barbuda,2024-08-04,9106,146,98071.1,93772
ARG,South America,Argentina,2024-08-04,10101218,130663,222455.06,45510324
ARM,Asia,Armenia,2024-08-04,452273,8777,156991.11,2780472
ABW,North America,Aruba,2024-08-04,44224,292,410271.62,106459
AUS,Oceania,Australia,2024-08-04,11861161,25236,452699,26177410
AUT,Europe,Austria,2024-08-04,6082444,22534,671004.9,8939617
AZE,Asia,Azerbaijan,2024-08-04,835757,10353,81178.445,10358078
BHS,North America,Bahamas,2024-08-04,39127,849,98421.81,409989
BHR,Asia,Bahrain,2024-08-04,696614,1536,454276.25,1472237
BGD,Asia,Bangladesh,2024-08-04,2051348,29499,12110.572,171186368
BRB,North America,Barbados,2024-08-04,108582,593,384600.7,281646
BLR,Europe,Belarus,2024-08-04,994037,7118,108362.68,9534956
BEL,Europe,Belgium,2024-08-04,4872829,34339,418562.72,11655923
BLZ,North America,Belize,2024-08-04,71414,688,177319.92,405285
BEN,Africa,Benin,2024-08-04,28036,163,2037.573,13352864
BMU,North America,Bermuda,2024-08-04,18860,165,291175.2,64207
BTN,Asia,Bhutan,2024-08-04,62697,21,80286.07,782457
BOL,South America,Bolivia,2024-08-04,1212147,22387,100366.93,12224114
BES,North America,Bonaire Sint Eustatius and Saba,2024-08-04,11922,41,416067.56,27052
BIH,Europe,Bosnia and Herzegovina,2024-08-04,403666,16392,125956.49,3233530
BWA,Africa,Botswana,2024-08-04,330696,2801,135536.98,2630300
BRA,South America,Brazil,2024-08-04,37511921,702116,178367.94,215313504
VGB,North America,British Virgin Islands,2024-08-04,7557,64,197084.3,31332
BRN,Asia,Brunei,2024-08-04,347723,179,763598.6,449002
BGR,Europe,Bulgaria,2024-08-04,1329988,38700,194845.4,6781955
BFA,Africa,Burkina Faso,2024-08-04,22139,400,983.56,22673764
BDI,Africa,Burundi,2024-08-04,54569,15,4096.433,12889583
KHM,Asia,Cambodia,2024-08-04,139319,3056,8099.134,16767851
CMR,Africa,Cameroon,2024-08-04,125246,1974,4532.516,27914542
CAN,North America,Canada,2024-08-04,4819055,55282,124134.43,38454328
CPV,Africa,Cape Verde,2024-08-04,64474,417,124048.1,593162
CYM,North America,Cayman Islands,2024-08-04,31472,37,439497.84,68722
CAF,Africa,Central African Republic,2024-08-04,15441,113,3028.812,5579148
TCD,Africa,Chad,2024-08-04,7702,194,417.332,17723312
CHL,South America,Chile,2024-08-04,5401126,62730,276229.6,19603736
