"num.tech.reps"	"population"	"study"	"gender"
"NA06985"	1	"CEU"	"Montgomery"	"female"
"NA06986"	1	"CEU"	"Montgomery"	"male"
"NA06994"	1	"CEU"	"Montgomery"	"male"
"NA07000"	1	"CEU"	"Montgomery"	"female"
"NA07037"	1	"CEU"	"Montgomery"	"female"
"NA07051"	1	"CEU"	"Montgomery"	"male"
"NA07346"	1	"CEU"	"Montgomery"	"female"
"NA07347"	1	"CEU"	"Montgomery"	"male"
"NA07357"	1	"CEU"	"Montgomery"	"male"
"NA10847"	1	"CEU"	"Montgomery"	"female"
"NA10851"	1	"CEU"	"Montgomery"	"male"
"NA11829"	1	"CEU"	"Montgomery"	"male"
"NA11830"	1	"CEU"	"Montgomery"	"female"
"NA11831"	1	"CEU"	"Montgomery"	"male"
"NA11832"	1	"CEU"	"Montgomery"	"female"
"NA11840"	1	"CEU"	"Montgomery"	"female"
"NA11881"	1	"CEU"	"Montgomery"	"male"
"NA11894"	1	"CEU"	"Montgomery"	"female"
"NA11918"	1	"CEU"	"Montgomery"	"female"
"NA11920"	1	"CEU"	"Montgomery"	"female"
"NA11931"	1	"CEU"	"Montgomery"	"female"
"NA11992"	1	"CEU"	"Montgomery"	"male"
"NA11993"	1	"CEU"	"Montgomery"	"female"
"NA11994"	1	"CEU"	"Montgomery"	"male"
"NA11995"	1	"CEU"	"Montgomery"	"female"
"NA12003"	1	"CEU"	"Montgomery"	"male"
"NA12004"	1	"CEU"	"Montgomery"	"female"
"NA12005"	1	"CEU"	"Montgomery"	"male"
"NA12006"	1	"CEU"	"Montgomery"	"female"
"NA12043"	1	"CEU"	"Montgomery"	"male"
"NA12044"	1	"CEU"	"Montgomery"	"female"
"NA12045"	1	"CEU"	"Montgomery"	"male"
"NA12144"	1	"CEU"	"Montgomery"	"male"
"NA12154"	1	"CEU"	"Montgomery"	"male"
"NA12155"	1	"CEU"	"Montgomery"	"male"
"NA12156"	1	"CEU"	"Montgomery"	"female"
"NA12234"	1	"CEU"	"Montgomery"	"female"
"NA12249"	1	"CEU"	"Montgomery"	"female"
"NA12287"	1	"CEU"	"Montgomery"	"female"
"NA12414"	1	"CEU"	"Montgomery"	"female"
"NA12489"	1	"CEU"	"Montgomery"	"female"
"NA12716"	1	"CEU"	"Montgomery"	"male"
"NA12717"	1	"CEU"	"Montgomery"	"female"
"NA12750"	1	"CEU"	"Montgomery"	"male"
"NA12751"	1	"CEU"	"Montgomery"	"female"
"NA12760"	1	"CEU"	"Montgomery"	"male"
"NA12761"	1	"CEU"	"Montgomery"	"female"
"NA12762"	1	"CEU"	"Montgomery"	"male"
"NA12763"	1	"CEU"	"Montgomery"	"female"
"NA12776"	1	"CEU"	"Montgomery"	"female"
"NA12812"	1	"CEU"	"Montgomery"	"male"
"NA12813"	1	"CEU"	"Montgomery"	"female"
"NA12814"	1	"CEU"	"Montgomery"	"male"
"NA12815"	1	"CEU"	"Montgomery"	"female"
"NA12828"	1	"CEU"	"Montgomery"	"female"
"NA12872"	1	"CEU"	"Montgomery"	"male"
"NA12873"	1	"CEU"	"Montgomery"	"female"
"NA12874"	1	"CEU"	"Montgomery"	"male"
"NA12891"	1	"CEU"	"Montgomery"	"male"
"NA12892"	1	"CEU"	"Montgomery"	"female"
